scaffold,n_compounds,n_active,active_ratio
O=c1cccnn1-c1ccccc1,40,7,0.175
O=C1NC(=O)C(=C/C=C/c2ccccc2)C(=O)N1,20,20,1.0
c1ccccc1,14,0,0.0
O=C1NC(=O)C(=C/C=C/c2ccc(OCc3ccccc3)cc2)C(=O)N1,12,8,0.6666666666666666
S=c1c(C=Nc2ccccc2)c[nH]n1-c1ccccc1,12,1,0.08333333333333333
O=c1c2ccccc2sn1Cc1ccccc1,11,11,1.0
O=c1[nH][se]c2ccccc12,11,8,0.7272727272727273
O=C(CCn1sc2ccccc2c1=O)NC12CC3CC(CC(C3)C1)C2,10,5,0.5
O=c1c2ccccc2[se]n1-c1ccccc1,10,5,0.5
C(=Cc1ccccc1)c1ccccc1,9,0,0.0
O=C(CNS(=O)(=O)c1cccc(COc2cccc3cccnc23)c1)N1CCNCC1,9,0,0.0
O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,8,8,1.0
O=C1/C(=C/c2ccccc2)SC(=S)N1c1ccccc1,7,1,0.14285714285714285
O=c1[nH]sc2ccccc12,7,3,0.42857142857142855
O=C(c1ccccc1)c1nccc2c1[nH]c1ccccc12,7,0,0.0
O=c1sn(-c2cnoc2)c(=O)n1Cc1ccccc1,6,6,1.0
O=C(Nc1cccnc1)c1ccccc1[Se]c1cnnn1Cc1ccccc1,6,0,0.0
O=C(c1ccccc1)c1ccc[nH]1,6,0,0.0
O=C1NC(=S)S/C1=C\c1ccc(-c2ccccc2)o1,5,0,0.0
O=c1cccnn1C1CCCCC1,5,0,0.0
c1ccc(Cc2nccc3c2[nH]c2ccccc23)cc1,5,0,0.0
O=C1C=C(c2ccccc2)C(=O)C1(c1ccccc1)c1ccccc1,5,0,0.0
O=C(NCCn1sc2ccccc2c1=O)c1ccccc1,5,0,0.0
O=C(/C=C/c1cccs1)Nc1ccc(N2CCOCC2)cc1,5,0,0.0
O=C(/C=C/c1ccco1)Nc1ccc(N2CCOCC2)cc1,4,0,0.0
O=C(Nc1cccc(Cn2sc3ccccc3c2=O)c1)c1ccccc1,4,3,0.75
c1ccc(CSc2nncs2)cc1,4,0,0.0
c1ccc(CCc2ccccc2)cc1,4,0,0.0
O=c1c2ccccc2[se]n1Cc1ccccc1,4,2,0.5
O=c1c(C=Nc2ccccc2)c[nH]n1-c1ccccc1,4,0,0.0
O=c1[nH]c(=O)n(Cc2ccccc2)s1,4,2,0.5
O=C1O/C(=C\c2ccccc2)C(c2ccccc2)=C1C(=O)c1ccccc1,4,0,0.0
O=C1NC(=O)C(=C/C=C/c2ccc(OC(=O)CNC(=O)OCc3ccccc3)cc2)C(=O)N1,4,2,0.5
O=c1sn(Cc2ccccc2)c(=O)n1Cc1ccccc1,4,2,0.5
O=c1cc(-c2ccccc2)oc2ccccc12,4,0,0.0
c1ccc([C@H]2CCCN2)cc1,4,0,0.0
O=c1c2ccccc2sn1-c1ccccc1,4,4,1.0
O=C(NCc1ccccc1)c1ccccc1[Se]c1cnnn1Cc1ccccc1,3,0,0.0
O=C(Cn1sc2ccccc2c1=O)NC12CC3CC(CC(C3)C1)C2,3,2,0.6666666666666666
