SMILES,label,scaffold,split
O=C1N[Se]C2=CC(Cl)=CC=C12,1,O=c1[nH][se]c2ccccc12,train
O=C1N[Se]C2=CC=C(Br)C=C12,1,O=c1[nH][se]c2ccccc12,train
CN1[Se]C2=CC=CC=C2C1=O,1,O=c1[nH][se]c2ccccc12,train
O=C1C2=C(C=CC=C2)[Se]N1C1=CC=CC=N1,1,O=c1c2ccccc2[se]n1-c1ccccn1,test
O=C1C2=C(C=CC=C2)[Se]N1C1=C(Br)C=CC=N1,1,O=c1c2ccccc2[se]n1-c1ccccn1,test
O=C1C2=C(C=CC=C2)[Se]N1C1=CC=CC(O)=C1,1,O=c1c2ccccc2[se]n1-c1ccccc1,test
O=C1C2=CC=CC=C2[Se]N1C1=CC=C(Br)C=C1,1,O=c1c2ccccc2[se]n1-c1ccccc1,test
CN1C=CC(N2[Se]C3=C(C=CC=C3)C2=O)=N1,1,O=c1c2ccccc2[se]n1-c1cc[nH]n1,train
O=C1C2=CC=C(F)C=C2[Se]N1CC1=CC=CC=C1,1,O=c1c2ccccc2[se]n1Cc1ccccc1,train
CN1CCN(CC2=C(C(F)(F)F)C=C(N3[Se]C4=C(C=CC=C4)C3=O)C=C2)CC1,1,O=c1c2ccccc2[se]n1-c1ccc(CN2CCNCC2)cc1,test
COC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](CC(C)C)N1[Se]C2=C(C=CC=C2)C1=O,1,O=C(Cn1[se]c2ccccc2c1=O)NCCc1ccccc1,test
COC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CC=CC=C1)N1[Se]C2=C(C=CC=C2)C1=O,1,O=C(NCCc1c[nH]c2ccccc12)[C@H](Cc1ccccc1)n1[se]c2ccccc2c1=O,test
CCN(CC)CCN1[Se]C2=CC=CC=C2C1=O,1,O=c1[nH][se]c2ccccc12,train
CCN(CC)CCCN1[Se]C2=CC=CC=C2C1=O,1,O=c1[nH][se]c2ccccc12,train
O=C1C2=C(C=CC(C(F)(F)F)=C2)[Se]N1C1=CC=CC=C1,1,O=c1c2ccccc2[se]n1-c1ccccc1,test
Cl.O=C1C2=C(C=CC=C2)[Se]N1[C@H]1CCNC1,1,O=c1c2ccccc2[se]n1[C@H]1CCNC1,test
O=C1C2=C(C=CC=C2)SN1CC1=CC=C(Br)C=C1,1,O=c1c2ccccc2sn1Cc1ccccc1,train
O=C1C2=CC=CC=C2SN1CC1=CC=CC=C1,1,O=c1c2ccccc2sn1Cc1ccccc1,train
C=CCN1SC2=CC=CC=C2C1=O,1,O=c1[nH]sc2ccccc12,train
O=C1C2=CC=CC=C2SN1C1=CC=CC=C1,1,O=c1c2ccccc2sn1-c1ccccc1,train
CN(C)C(=O)CN1SC2=CC=CC=C2C1=O,1,O=c1[nH]sc2ccccc12,train
O=C1C2=CC=CC=C2SN1C1=CC=C(F)C=C1,1,O=c1c2ccccc2sn1-c1ccccc1,train
CC1=CC(C)=C(N2SC3=CC=CC=C3C2=O)C(C)=C1,1,O=c1c2ccccc2sn1-c1ccccc1,train
O=C1C2=CC=CC=C2SN1C1=CC=C(Br)C=C1,1,O=c1c2ccccc2sn1-c1ccccc1,train
CN1SC2=CC=CC=C2C1=O,1,O=c1[nH]sc2ccccc12,train
CC(C)(C)OC(=O)NC1=CC(CN2SC3=C(C=CC=C3)C2=O)=CC=C1,1,O=c1c2ccccc2sn1Cc1ccccc1,train
NC1=CC(CN2SC3=CC=CC=C3C2=O)=CC=C1,1,O=c1c2ccccc2sn1Cc1ccccc1,train
O=C(NC1=CC(CN2SC3=CC=CC=C3C2=O)=CC=C1)C1=CC=C(F)C=C1,1,O=C(Nc1cccc(Cn2sc3ccccc3c2=O)c1)c1ccccc1,train
O=C(NC1=CC(CN2SC3=C(C=CC=C3)C2=O)=CC=C1)C1=CC=CO1,1,O=C(Nc1cccc(Cn2sc3ccccc3c2=O)c1)c1ccco1,train
O=C(NC1=CC(CN2SC3=CC=CC=C3C2=O)=CC=C1)C1=CC=C(C(F)(F)F)C=C1,1,O=C(Nc1cccc(Cn2sc3ccccc3c2=O)c1)c1ccccc1,train
CC(C)(C)C(=O)NC1=CC(CN2SC3=CC=CC=C3C2=O)=CC=C1,1,O=c1c2ccccc2sn1Cc1ccccc1,train
COC1=CC=C(C(=O)NC2=CC(CN3SC4=C(C=CC=C4)C3=O)=CC=C2)C=C1,1,O=C(Nc1cccc(Cn2sc3ccccc3c2=O)c1)c1ccccc1,train
O=C(NC1=CC(CN2SC3=CC=CC=C3C2=O)=CC=C1)C1=CC=C(Cl)N=C1,1,O=C(Nc1cccc(Cn2sc3ccccc3c2=O)c1)c1cccnc1,test
O=C1C2=C(C=CC=C2)SN1CC1=CC=C(C(F)(F)F)C=C1,1,O=c1c2ccccc2sn1Cc1ccccc1,train
COC1=CC=C(CN2SC3=CC=CC=C3C2=O)C=C1,1,O=c1c2ccccc2sn1Cc1ccccc1,train
O=C1C2=CC=CC=C2SN1CC1=CC=C([N+](=O)[O-])C=C1,1,O=c1c2ccccc2sn1Cc1ccccc1,train
COC1=CC(OC)=CC(CN2SC3=CC=CC=C3C2=O)=C1,1,O=c1c2ccccc2sn1Cc1ccccc1,train
O=C1C2=CC=CC=C2SN1CC1=CC(F)=CC(F)=C1,1,O=c1c2ccccc2sn1Cc1ccccc1,train
O=C1C2=CC=CC=C2SN1CC1=CC=C(Cl)C=C1Cl,1,O=c1c2ccccc2sn1Cc1ccccc1,train
O=C1C2=C(C=CC=C2)[Se]N1C1=NNC2=C1C=CC=C2,1,O=c1c2ccccc2[se]n1-c1n[nH]c2ccccc12,test
O=C1C2=CC=CC=C2[Se]N1C1=CN=CC=C1,1,O=c1c2ccccc2[se]n1-c1cccnc1,train
COC(=O)[C@@H](CC(C)C)NC(=O)CN1[Se]C2=C(C=CC=C2)C1=O,1,O=c1[nH][se]c2ccccc12,train
O=C1C2=CC(Br)=CC=C2[Se]N1C1=CC=CC=C1,1,O=c1c2ccccc2[se]n1-c1ccccc1,test
O=C1C2=C(C=CC=C2)[Se]N1C1=NN=C(C2CCCC2)S1,1,O=c1c2ccccc2[se]n1-c1nnc(C2CCCC2)s1,test
